Frequency,Word,Reading,Type,Meaning
159,方,かた,noun,"person, man"
160,食べる,,verb,eat
161,ほど,,particle,about; extent
162,しかし,,conjunction,"but, however"
163,書く,,verb,write
164,入れる,,verb,put in; include
165,次,つぎ,noun,"next, following, coming"
166,結構,,adverb,quite
166,結構,,na-adjective,good
167,問題,,noun,"problem, question"
168,例えば,,adverb,"for example, such as"
169,目、眼,,noun,eye
170,頃,ころ,noun,"time, about, when"
171,上,うえ,noun,top; above; up; on
172,てくださる,,compound,[do something as a favor (honorific)]
173,他,ほか,noun,"other, another; else"
174,いつ,,pronoun,when
175,家,いえ,noun,"house, home"
176,付く,,verb,stick; be stained with
177,日、陽,,noun,day; sun
178,出す,,verb,take out; pay; send
179,一人,,noun,one person; alone
180,人間,,noun,"human being, man"
181,どこ,,pronoun,where
182,ございます（<ござる）,,verb,[very polite form of “de aru”]
183,時間,,noun,time
184,ただ,,conjunction,just
184,ただ,,adverb,"only, just, merely"
185,だから,,conjunction,"so, therefore, because"
186,違う,,verb,be different; be wrong
187,受ける,,verb,"get, receive, take"
188,言葉,,noun,word; language
189,なんか,,particle,"such as, like"
190,少し,,adverb,"a little, a few"
191,まま,,verb,as it is
192,買う,,adverb,buy
193,まだ,,noun,"yet, still"
194,手,,noun,hand
195,話す,,verb,"talk, tell, speak"
196,好き,,na-adjective,"favorite, like, love"
197,返る,,verb,return
198,てもらう,,compound,[receive a favor]
199,掛ける,,verb,hang; take; cost
200,終わる,,verb,"end, finish"
201,意味,,noun,"meaning, sense"
201,意味する,,verb,mean
202,のである,,compound,ASSERTION (formal)
203,いろんな,,adnominal,various
204,付ける,,verb,put; attach; apply
205,形,,noun,"form, shape, figure"
206,かなり,,adverb,"considerably, rather"
207,三,さん,numeral,three
208,最初,,noun,first
209,間,あいだ,noun,distance; period
210,感じる,,verb,feel
211,しか,,particle,"only, just, no more than"
212,かかる,,verb,hang; take; cost
213,大きな,,adnominal,"big, large, great"
214,住む,,verb,live
215,最近,,noun,"recently, lately"
216,特に,,adverb,"especially, particularly"
217,誰,,pronoun,"who, whose, whom"
218,こんな,,adnominal,"such, like that"
219,友達,,noun,friend
220,大きい,,i-adjective,"big, large, great"
221,すぐ,,adverb,soon
222,一緒,,noun,"together, with"
223,生活,,noun,life
223,生活する,,verb,live
224,国,,noun,country
225,あげる,,verb,"raise, lift"
226,あなた、あんた,,pronoun,you
227,現在,,noun,"present time, now"
228,高い,,i-adjective,"high, tall; expensive"
229,なんて,,particle,[expresses belittlement]
230,悪い,,i-adjective,bad
231,気持ち,,noun,feeling
232,乗る,,verb,"ride, get on, take"
233,において,,compound,at; in; on
234,見える,,verb,"see, be seen"
235,変わる,,verb,change
236,べし,,auxiliary,"must, should"
237,あるいは,,conjunction,"or; perhaps, probably, maybe"
238,大変,,na-adjective,"serious, terrible; hard, difficult"
239,による,,compound,"be due to, be based on"
240,会社,,noun,"company, firm"
241,ほとんど,,adverb,"almost, nearly"
242,実際,,noun,"actually, in fact"
243,先生,,noun,teacher
244,彼女,,pronoun,she; girlfriend
245,二人,,noun,two people
246,心,,noun,"mind, heart; thought; feeling"
247,あの,,adnominal,"that, those"
248,らしい,,auxiliary,"seem, look"
249,ある,,adnominal,"one, a, some, a certain"
250,金,かね,noun,money
251,顔,,noun,face
252,ていただく,,compound,[receive a favor (humble)]
253,ずっと,,adverb,"all the time, for a long time"
254,さらに,,adverb,"again, still more, moreover"
255,町、街,,noun,"town, city"
256,及び,,conjunction,"and, as well as"
257,たくさん,,adverb,"many, much"
258,いー,,interjection,"good, great"
259,大体,,adverb,"almost, nearly"
260,もちろん,,adverb,"of course, needless to say"
261,読む,,verb,read
262,人たち,,noun,people
263,今日,きょう,noun,today
264,昔,,noun,"ancient times, in the past, once"
265,うん,,interjection,"yes, yeah"
266,すべて,,noun,"everything, all"
267,教える,,verb,"teach, tell"
268,子,,noun,child
269,ておく,,compound,"do something in advance, in preparation for something"
270,に対して,,compound,"to, toward; for; against"
271,ばかり,,particle,"only, just, almost"
272,なぜ,,adverb,why
273,水,みず,noun,water
274,当時,,noun,"then, at that time"
275,場所,,noun,"place, spot"
276,置く,,verb,"put, place; leave"
277,楽しい,,i-adjective,"pleasant, happy, enjoyable"
278,にとって,,compound,for
279,声,,noun,voice
280,普通,,na-adjective,"normal, regular, ordinary, common"
281,残る,,verb,"remain, be left"
282,最後,,noun,"last, end"
283,車,,noun,car; wheel
284,初めて,,adverb,"for the first time, first"
285,今度,,noun,"this time, next time"
286,体,からだ,noun,body
287,私達,,pronoun,we
288,強い,,i-adjective,"strong, powerful"
289,全く,,adverb,"entirely, completely; (not) at all"
290,呼ぶ,,verb,call
291,結局,,adverb,"after all, in the end, finally"
292,歩く,,verb,walk
293,男,,noun,"man, male"
294,女性,,noun,"woman, female"
295,学校,,noun,school
296,生きる,,verb,live
297,なかなか,,adverb,"very, quite; (not) easily"
298,先,さき,noun,"end, front"
299,もっと,,adverb,more
300,ことができる,,compound,"can, be able to"
301,テーマ,,noun,"theme, subject"
302,世界,,noun,world
303,状態,,noun,"state, conditions"
304,と,,interjection,"well, erm (abbreviation of “eeto”)"
305,もし,,adverb,"if, in case"
306,全然,,adverb,"(not) at all; utterly, completely"
307,飲む,,verb,drink
308,新しい,,i-adjective,"new, fresh"
309,の,,discourse particle,EMOTION/QUESTION
310,早い,,i-adjective,"early, soon"
311,会う,,verb,"meet, see"
312,アメリカ,,noun,America
313,あれ,,pronoun,that
314,小さい,,i-adjective,"small, little, tiny"
315,相手,,noun,companion; partner
316,母,,noun,mother
317,以上,,noun,more than; mentioned above; since
318,関係,,noun,"relationship, connection"
319,四,,numeral,four
320,たぶん,,adverb,"probably, perhaps, maybe"
321,店,店,noun,"store, shop"
322,どんな,,adnominal,"what, what kind of"
323,頭,,noun,head
324,電話,,noun,"telephone, call"
324,電話する,,verb,"phone, call"
325,長い,,i-adjective,long
326,ことになる,,compound,"it happens that ... , it is decided that"
327,本,,noun,book
328,どの,,adnominal,"which, what"
329,こちら,,pronoun,"this place, here; this way; this"
330,いわゆる,,adnominal,"what is called, what you call, so-called"
331,わ,,discourse particle,EXCLAMATION
332,夜,,noun,"night, evening"
333,別,,na-adjective,"separate, different"
334,者,,noun,"person, people"
335,タイトル,,noun,title
336,親,,noun,parent
337,名前,,noun,name
338,全部,,adverb,"all, whole, entire"
339,皆さん,,noun,"everybody, everyone"
340,により,,compound,by; with; depending on
341,きれい,,na-adjective,"beautiful, pretty; clean"
342,立つ,,verb,stand
343,毎日,,adverb,every day
344,ために,,compound,for
345,おいしい,,i-adjective,"delicious, tasty"
346,または,,conjunction,or
347,家族,,noun,family
348,に対する,,compound,to; for; against
349,部分,,noun,"part, section"
350,一度,,noun,once
351,結果,,noun,result
352,じゃ,,conjunction,"well, so, then"
353,状況,,noun,"state of affairs, situation"
354,時代,,noun,"time, era"
355,少ない,,i-adjective,"a little, a few"
356,他,ほか,noun,"another, other"
357,うまい,,i-adjective,"delicious, tasty; good at"
358,覚える,,verb,"learn, remember, memorize"
359,東京,,noun,Tokyo
360,てある,,compound,[describes a state resulting from someone’s action]
361,続く,,verb,"continue, go on, last"
362,における,,compound,in
363,俺,,pronoun,I (used by male speakers)
364,生まれる,,verb,be born
365,父,,noun,father
366,確か,,"na-adjective, adverb","sure, certain, reliable"
366,確か,,adverb,"maybe, probably; if I remember rightly, it’s my understanding that"
367,それぞれ,,noun,each
368,方法,,noun,"way, method"
369,はず,,noun,"ought to, should"
370,説明,,noun,explanation
370,説明する,,verb,explain
371,なければいけない,,compound,"must, have to, need to"
372,部屋,,noun,room
373,ちょうど,,adverb,"just, exactly"
374,当然,,"adverb, noun","naturally, as a matter of course"
375,大学,,noun,"university, college"
376,ですから,,conjunction,"so, therefore"
377,実,じつ,noun,"truth, true, real"
378,朝,,noun,morning
379,どんどん,,adverb,"rapidly, fast, soon"
380,得る,える,verb,"get, obtain"
380,得る,うる,verb,"get, obtain"
381,とにかく,,adverb,"anyway, regardless"
382,選ぶ,,verb,"choose, select"
383,面白い,,i-adjective,interesting; fun; funny
384,戻る,,verb,"return, go back"
385,勉強,,noun,study
385,勉強する,,verb,"learn, study"
386,やめる,,verb,"stop, give up"
387,下,した,noun,under; below; down; low
388,始める,,verb,"start, begin"
389,まわり,,noun,"circumference; surroundings, neighborhood, around"
390,犬,,noun,dog
391,必ず,,adverb,"always, certainly, surely"
392,残す,,verb,leave
393,大事,,na-adjective,"important, serious"
394,嬉しい,,i-adjective,"glad, happy"
395,力,,noun,"power, strength"
396,遊ぶ,,verb,play
397,若い,,i-adjective,young
398,理由,,noun,reason
399,女,,noun,"woman, female"
400,簡単,,na-adjective,easy
401,始まる,,verb,"start, begin"
402,死ぬ,,verb,die
403,今回,,noun,this time
404,に関する,,compound,"be concerned with, be related to"
405,人生,,noun,life
406,通り,,noun,street; as
407,内容,,noun,contents
408,テレビ,,noun,"television, TV"
409,経験,,noun,experience
409,経験する,,verb,experience
410,木,,noun,wood; tree
411,点,,noun,"point, score"
412,自然,,noun,nature
412,自然,,na-adjective,natural
412,自然,,adverb,naturally
413,音,,noun,"sound, noise"
414,海,,noun,"sea, ocean"
415,一応,,adverb,"at first glance; at least, just"
416,与える,,verb,"give, present"
417,利用,,noun,"use, utilization"
417,利用する,,verb,utilize
418,働く,,verb,work
419,一杯,,"noun, adverb","cup(ful), glass(ful), be full of, a lot of"
420,近く,,noun,"near, nearby"
421,つまり,,adverb,"in short, that is to say, after all"
422,共,,noun,"with, together"
423,存在,,noun,existence
423,存在する,,verb,exist
424,絶対,,"noun, adverb","absolute, absolutely, whatever"
425,日本人,,noun,Japanese (person)
426,大切,,na-adjective,important
427,足,,noun,foot; leg
428,切る,,verb,cut
429,走る,,verb,run
430,待つ,,verb,wait
431,写真,,noun,"picture, photo"
432,子供たち,,noun,children
433,だんだん,,adverb,"gradually, more and more, less and less"
434,二つ,,numeral,two
435,楽しむ,,verb,"enjoy, have a good time"
436,五,,noun,five
437,多く,,noun,"many, most"
438,寝る,,verb,"sleep; lie down, go to bed"
439,英語,,noun,English language
440,決める,,verb,"decide, fix"
441,忘れる,,verb,forget
442,口,,noun,mouth
443,送る,,verb,send; spend (time)
444,姿,,noun,"figure, shape, appearance"
445,なくなる,,verb,disappear; be gone
446,時期,,noun,"time, period, season"
447,逆,,"noun, na-adjective","contrary, opposite"
448,頑張る,,verb,do one’s best
449,示す,,verb,show
450,こそ,,particle,EMPHATIC
451,人々,,noun,people
452,道,,noun,"way, road"
453,有名,,na-adjective,"famous, well-known"
454,てもいい,,compound,(I) don’t mind if
455,思い,,noun,"thought, mind, heart"
456,しかも,,conjunction,"moreover, besides"
457,難しい,,i-adjective,"difficult, hard"
458,彼ら,,pronoun,they
459,山,,noun,mountain
460,程度,,noun,"degree, grade, level, limit"
461,でない,,compound,COPULA (NEGATIVE)
462,願う,,verb,"wish, ask, pray"
463,すでに,,adverb,"already, before"
464,昭和,,noun,Showa era
465,向かう,,verb,"face; go (toward, in the direction of）"
466,連れる,,verb,"take somebody, accompany"
467,変える,,verb,change
468,影響,,noun,influence
468,影響する,,verb,"affect, influence"
469,病院,,noun,"hospital, clinic"
470,年,とし,noun,year; age
471,花,,noun,flower
472,求める,,verb,"ask for, request, demand"
473,情報,,noun,information
474,もらう,,verb,"get, have, receive"
475,友人,,noun,friend
476,だめ,,na-adjective,"useless, hopeless, impossible"
477,経つ,,verb,"pass, go by"
478,先程,,noun,a short while ago
479,一回,,noun,once
480,十分,じゅうぶん,na-adjective,"enough, sufficient"
480,十分,じゅうぶん,adverb,"fully, sufficiently, adequately"
481,小さな,,adnominal,"small, little, tiny"
482,開く,ひらく,verb,open; bloom; hold
483,無人島,,noun,uninhabited island
484,続ける,,verb,"continue, keep up, go on"
485,重要,,na-adjective,important
486,といった,,compound,"like, such as"
487,当たる,,verb,"hit, bump, touch; guess right, win"
488,近い,,i-adjective,"near, close"
489,結婚,,noun,marriage
489,結婚する,,verb,"marry, get married"
490,認める,みとめる,verb,"recognize, acknowledge, admit, approve, accept"
491,これら,,pronoun,these
492,歴史,,noun,history
493,増える,,verb,"increase, gain"
494,音楽,,noun,music
495,なければならない,,compound,must
496,外,,noun,outside
497,進む,,verb,"to go forward, make progress"
498,起きる,,verb,get up; wake; happen
499,嫌,,"noun, na-adjective","unpleasant, disagreeable"
500,駅,,noun,station
501,いや,,interjection,No
502,はい,,interjection,yes; all right
503,映画,,noun,movie
504,身,,noun,"body, oneself; position"
505,客,,noun,"guest, visitor; customer"
506,質問,,noun,question
506,質問する,,verb,question
507,含む,,verb,"contain, include"
508,地域,,noun,"region, area"
509,我が,,adnominal,"my, our, one’s"
510,どうしても,,adverb,"by all means, at any cost, no matter what, after all"
511,のに,,conjunctive particle,"although, though; in order to"
512,娘,,noun,daughter
513,見せる,,verb,show
514,一日,いちにち,noun,"a day, the day, one day"
515,今年,,noun,this year
516,平成,,noun,Heisei era
517,図,,noun,"drawing, figure, diagram"
518,紹介,,noun,introduction
518,紹介する,,verb,introduce
519,合わせる,,verb,"join, add up; adjust"
520,安い,,i-adjective,"low, cheap"
521,夢,,noun,dream
522,つらい,,i-adjective,"hard, difficult, painful"
523,規定,,noun,"regulations, stipulations"
523,規定する,,verb,prescribe
524,どちら,,pronoun,where; which; who
525,中心,,noun,center
526,起こる,,verb,"happen, occur, take place"
527,我々,,pronoun,we
528,（お）母さん,,noun,"mother, Mom"
529,立てる,,verb,"stand, set up, put up"
530,最も,,adverb,"most, extremely"
531,色,,noun,color
532,探す,,verb,"look for, search for, seek"
533,ちゃんと,,adverb,"exactly, regularly, properly"
534,興味,,noun,interest
535,三つ,,numeral,three
536,てほしい,,compound,want /ask someone to do
537,いただく,,verb,"get, receive (humble)"
538,売る,,verb,sell
539,変化,,noun,change
539,変化する,,verb,"change, vary"
540,印象,,noun,impression
541,作品,,noun,"work, production"
542,でございます,,compound,be (formal)
543,参加,,noun,participation
543,参加する,,verb,"take part in, participate"
544,夏,,noun,summer
545,よる,,verb,be due to
546,理解,,noun,understanding
546,理解する,,verb,understand
547,事件,,noun,"incident, event"
548,中国,,noun,China
549,ずつ,,particle,"each, ... by ..."
550,母親,,noun,mother
551,取り敢えず,,adverb,for the time being; at once
552,ところが,,conjunction,however
553,目的,,noun,purpose
554,様々,,na-adjective,"various, all kinds of"
555,答える,,verb,"answer, respond"
556,過ごす,,verb,"spend, live"
557,上がる,,verb,"go up, rise; end; get nervous"
558,一方,,noun,one side
558,一方,,conjunction,on the other hand
559,病気,,noun,"sickness, illness"
560,心配,,na-adjective,"anxious, worried"
560,心配,,noun,"anxiety, worry, care"
560,心配する,,verb,"worry, be anxious"
561,それでも,,conjunction,"but, still"
562,イメージ,,noun,image
562,イメージする,,verb,"imagine, have an impression"
563,笑い,,noun,"laugh, laughter"
564,午後,,noun,"afternoon, p.m."
565,後,ご,noun,"after, later, since"
566,動く,,verb,move; work (machine)
567,主人,,noun,shop owner; husband
568,加える,,verb,"add, include"
569,困る,,verb,"have difficulty, be in trouble"
570,取れる,,verb,come off; be removed
571,環境,,noun,environment
572,対応,,noun,"correspondence, response"
572,対応する,,verb,respond to
573,比べる,,verb,"compare, contrast"
574,高校,,noun,high school
575,食事,,noun,meal
575,食事する,,verb,have a meal
576,引く,,verb,"pull, draw, lead; subtract"
577,辺,,noun,"region, area around"
578,要するに,,conjunction,"in short, to sum up"
579,離れる,,verb,separate; leave; be away from
580,火,ひ,noun,fire
581,実施,,noun,operation
581,実施する,,verb,"enforce, conduct"
582,今後,,adverb,"in the future, from now on"
583,社会,,noun,society
584,練習,,noun,"practice, training"
584,練習する,,verb,"practice, train"
585,使用,,noun,use
585,使用する,,verb,use
586,越える,,verb,"cross over, go over"
587,図る,,verb,attempt; plan; strive
588,企業,,noun,"company, business"
589,奴,,noun,"guy, fellow"
590,はっきり,,adverb,"clearly, certainly"
591,怖い,,i-adjective,"frightening, scary; terrified"
592,例,れい,noun,example
593,絵,,noun,"picture, painting"
594,思い出す,,verb,remember
595,に関して,,compound,"about, regarding, concerning"
596,酒,,noun,"alcohol, sake, rice wine"
597,原因,,noun,cause
598,お前,,noun,you (colloquial)
599,守る,,verb,"protect, defend; keep, obey"
600,小学校,,noun,"elementary school, primary school"
601,回る,,verb,"spin, turn, go around; go via"
602,広い,,i-adjective,"wide, broad, large"
603,猫,,noun,cat
604,向こう,,noun,other side; over there
605,同時,,noun,"simultaneous, at the same time"
606,調べる,,verb,investigate; look up; examine; check
607,のぼる,,verb,"go up, rise; reach"
608,六,,numeral,six
609,のみ,,particle,"only, merely"
610,向ける,,verb,"turn, point"
611,落ちる,,verb,"fall, drop"
612,だが,,conjunction,"but, however"
613,決まる,,verb,be decided
614,起こす,,verb,wake; raise; cause
615,場,,noun,field; place; occasion
616,いずれ,,adverb,"anyway, sooner or later"
616,いずれ,,pronoun,either
617,ホテル,,noun,hotel
618,対象,,noun,"object, target, subject"
619,打つ,うつ,verb,"hit, strike, beat"
620,以前,,noun,"before, formerly"
621,夫,,noun,husband
622,確認,,noun,confirmation
622,確認する,,verb,confirm
623,数,かず,noun,number
624,意見,,noun,"opinion, idea"
625,割と,,adverb,"comparatively, rather"
626,大丈夫,,na-adjective,"safe, all right"
627,通う,,verb,"attend, go to, commute"
628,申し上げる,,verb,"tell, say (humble)"
629,可能性,,noun,possibility
630,述べる,,verb,"describe, say, state"
631,是非,,adverb,"by all means, please; definitely, certainly"
632,さえ,,particle,even; besides; if only
633,三人,,noun,three people
634,料理,,noun,"cooking, dish"
634,料理する,,verb,cook
635,一部,,noun,part
636,きっと,,adverb,"surely, certainly"
637,どうして,,adverb,why
638,歌う,,verb,sing
639,なお,,adverb,"more, still"
640,幾つ,,noun,"how many, how old"
641,ぞ,,discourse particle,EMPHASIS
642,ほしい,,i-adjective,"want, desire"
643,新聞,,noun,newspaper
644,気付く,,verb,"notice, become aware"
645,歌,,noun,song
646,開ける,,verb,open
647,互い,,noun,each other
648,着る,,verb,"put on, wear"
649,違い,,noun,difference
650,しっかり,,adverb,"hard, tight"
651,過ぎる,,verb,"pass, exceed"
652,記憶,,noun,memory
652,記憶する,,verb,memorize
653,思い出,,noun,"memory, reminiscence"
654,しばらく,,adverb,"for a while, a minute, for a long time"
655,基本的,,na-adjective,"basic, fundamental"
656,四月,,noun,April
657,君,きみ,noun,you
658,笑う,,verb,laugh; smile
659,いくら,,adverb,"how much, however"
660,魚,,noun,fish
661,旅行,,noun,"journey, travel"
661,旅行する,,verb,travel
662,父親,,noun,father
663,どれ,,pronoun,which
664,見付ける,,verb,"find, look for"
665,関わる,,verb,"concern, affect, be involved"
666,無理,,na-adjective,"unreasonable, impossible; compulsory"
667,健康,,noun,health
668,味,,noun,"flavor, taste"
669,深い,,i-adjective,deep
670,伝える,,verb,tell; deliver; hand down
671,自由,,noun,"freedom, liberty"
671,自由,,na-adjective,free
672,集まる,,verb,"gather, crowd"
673,戦争,,noun,war
674,流れる,,verb,"flow, float, pass"
675,男性,,noun,"male, man"
676,電車,,noun,train
677,進める,,verb,"advance, move forward"
678,含める,,verb,"include, add"
679,致す,,verb,do (humble)
680,着く,,verb,"arrive, reach"
681,厳しい,,i-adjective,"strict, hard"
682,女の子,,noun,girl
683,パソコン,,noun,personal computer
684,おる,,verb,"be, exist (humble)"
685,活動,,noun,activity
685,活動する,,verb,be active
686,不安,,noun,"anxiety, concern"
686,不安,,na-adjective,"uneasy, insecure"
687,三十分,,noun,thirty minutes
688,限り,,noun,limit
689,いらっしゃる,,verb,"come, go (honorific); be (honorific)"
690,可能,,na-adjective,possible
691,可愛い,,i-adjective,"cute, nice, lovely"
692,際,さい,noun,"when, in case of"
693,途中,,noun,on the way; in the middle of
694,研究,,noun,"research, study"
694,研究する,,verb,"do research, study"
695,様子,,noun,"state of affairs, situation; appearance"
696,ものすごい,,i-adjective,terrible
696,ものすごい,,adverb,terribly
697,合う,,verb,"fit, suit, agree"
698,済む,,verb,"end, finish"
699,通る,,verb,"pass, go along"
700,大人,,noun,adult
701,期待,,noun,expectation
701,期待する,,verb,expect
702,事実,,noun,"fact, actuality"
703,せい,,noun,"fault, cause for blame, because of"
704,一年,,noun,one year
705,一体,,"noun, adverb","how, what, why, who"
706,島,しま,noun,island
707,描く,,verb,draw; describe
708,驚く,,verb,be surprised
709,動物,,noun,animal
710,何度,,noun,"how many times, how often"
711,元々,,adverb,"from the first, originally"
712,素晴らしい,,i-adjective,"wonderful, marvelous"
713,座る,,verb,sit
714,定める,,verb,"provide; stipulate, decide"
715,機会,,noun,opportunity
716,楽しみ,,noun,"pleasure, enjoyment"
717,考え,,noun,"idea, thought"
718,信じる,,verb,"believe, trust"
719,たまたま,,adverb,"accidentally, by chance"
720,古い,,i-adjective,old
721,さ,,discourse particle,ATTRACT ATTENTION
722,面,めん,noun,side; page; surface
723,三月,,noun,March
724,ただし,,conjunction,"but, however, though"
725,常,,noun,way
725,常,,adverb,"always, usually"
726,より,,adverb,"more, better"
727,つもり,,noun,intention
728,考え方,,noun,"way of thinking, attitude"
729,ニュース,,noun,news
730,意識,,noun,"consciousness, awareness"
730,意識する,,verb,be conscious
731,元,もと,noun,beginning; original
732,行動,,noun,"action, act"
732,行動する,,verb,"act, behave"
733,低い,,i-adjective,"low, short"
734,びっくり,,noun,surprise
734,びっくりする,,verb,"be surprised, be amazed"
735,作り方,,noun,how to make
736,元気,,noun,"health, vigor"
736,元気,,na-adjective,"lively, vigorous, well"
737,現われる,,verb,"appear, come into sight"
738,聞こえる,,verb,hear; sound
739,曲,,noun,"piece (music), song, tune"
740,過去,,noun,past
741,やっと,,adverb,at last
742,思える,,verb,it seems that
743,明らか,,na-adjective,"clear, obvious"
744,つつ,,conjunctive particle,while doing; though
745,土地,,noun,"land, ground"
746,振り返る,,verb,"turn one’s head, look back"
747,初め,,noun,beginning
